event_cd,event_type,event_desc,event_ct
WRDA,O,WITHDRAWAL OF REFUSAL DURING APPEAL,249
WRDA,R,REFUSAL WITHDRAWAL LETTER - COMPLETED,10
XAAP,I,EXAMINER'S AMENDMENT AFTER PUB APPROVAL,89
XAEC,I,EXAMINER'S AMENDMENT ENTERED,1059741
XAWR,P,EXAMINER AMENDMENT AFTER PUB APPROVAL WRITTEN,3
XXCR,P,GENERIC MADRID TRANSACTION CREATED,16661
XXSS,O,GENERIC MADRID TRANSACTION SENT TO IB,16617
XXXX,X,POST REGISTRATION ACTION CORRECTION,21793
ZZAX,Z,PREVIOUS ALLOWANCE WITHDRAWN-TIMELY AAU,1945
ZZBX,Z,ALLOWANCE WITHDRAWN-INADVERTENTLY ISSUED ACTION,1643
ZZZX,Z,PREVIOUS ALLOWANCE COUNT WITHDRAWN,321626
ZZZY,Z,PREVIOUS ACTION COUNT WITHDRAWN,16060
ZZZZ,Z,ALLOWANCE/COUNT WITHDRAWN,45538
